"","SVM_LABEL","SVM_PROB","LOGITBOOST_LABEL","LOGITBOOST_PROB","GLMNET_LABEL","GLMNET_PROB","TREE_LABEL","TREE_PROB","MAXENTROPY_LABEL","MAXENTROPY_PROB","MANUAL_CODE","CONSENSUS_CODE","CONSENSUS_AGREE","CONSENSUS_INCORRECT","PROBABILITY_CODE","PROBABILITY_INCORRECT"
"1","1",0.953789211543621,"1",0.982013790037908,"1",0.330753953180415,"1",0.9,"1",0.999979540829795,1,1,5,0,1,0
"2","1",0.99999976115062,"1",0.999999997938846,"1",0.892626173028574,"1",0.982035928143713,"1",1,1,1,5,0,1,0
"3","1",0.99994786478587,"1",0.999664649869534,"1",0.984183796943112,"1",1,"1",1,1,1,5,0,1,0
"4","1",0.999792251361184,"1",0.999664649869534,"1",0.569179046787792,"1",0.9,"1",1,1,1,5,0,1,0
"5","1",0.999921124873467,"1",0.999664649869534,"1",0.986443634719479,"1",0.939393939393939,"1",1,1,1,5,0,1,0
"6","1",0.999989492039241,"1",0.999999984770021,"1",0.890351113408849,"1",0.982035928143713,"1",1,1,1,5,0,1,0
"7","1",0.910701719725219,"1",0.119202922022118,"3",0.226410781446964,"1",0.9,"1",0.999999999999945,1,1,4,0,1,0
"8","1",0.997181408499099,"1",0.999664649869534,"1",0.957294160592751,"1",0.982035928143713,"1",0.999999999999713,1,1,5,0,1,0
"9","1",0.935202514607947,"1",0.880797077977882,"1",0.710249741121937,"1",0.939393939393939,"1",0.999999466320937,1,1,5,0,1,0
"10","1",0.990659080795027,"1",0.997527376843365,"1",0.946028326430017,"1",0.939393939393939,"1",0.999999999999089,1,1,5,0,1,0
"11","1",0.994878983092066,"1",0.982013790037908,"1",0.822100139263431,"1",0.982035928143713,"1",0.999999999999593,1,1,5,0,1,0
"12","1",0.999998585098052,"1",0.999999168471972,"1",0.949043039515101,"1",0.9,"1",1,1,1,5,0,1,0
"13","1",0.999799334509762,"1",0.999993855825398,"1",0.949571159500274,"1",1,"1",1,1,1,5,0,1,0
"14","1",0.756970278508344,"1",0.5,"1",0.813828004690622,"1",0.9,"1",0.993546317892409,1,1,5,0,1,0
"15","1",0.914894325600893,"1",0.5,"1",0.724950671296714,"1",0.9,"1",0.999999439245108,1,1,5,0,1,0
"16","1",0.945328591583968,"1",0.5,"2",0.367104567368607,"1",0.982035928143713,"1",0.999999994684754,1,1,4,0,1,0
"17","1",0.999227751075909,"1",0.982013790037908,"1",0.934537581256492,"2",0.403927068723703,"1",1,1,1,4,0,1,0
"18","1",0.727963159329043,"1",0.982013790037908,"1",0.540834090443842,"2",0.403927068723703,"1",0.999999804332414,1,1,4,0,1,0
"19","1",0.999530233225477,"1",0.997527376843365,"1",0.5597074200396,"1",0.9,"1",1,1,1,5,0,1,0
"20","1",0.536112806670206,"3",0.119202922022118,"1",0.726458821523642,"2",0.403927068723703,"1",0.973349696902151,1,1,3,0,1,0
"21","1",0.986030799082433,"1",0.997527376843365,"2",0.280850111770453,"1",0.9,"1",0.999999999999859,1,1,4,0,1,0
"22","1",0.999465232784557,"1",0.999999887464838,"1",0.908247068366968,"2",0.403927068723703,"1",1,1,1,4,0,1,0
"23","1",0.976370332493522,"1",0.5,"1",0.819129674556679,"2",0.403927068723703,"1",0.999999230563236,1,1,4,0,1,0
"24","1",0.999998614504327,"1",0.999999997938846,"1",0.843208013897664,"1",0.982035928143713,"1",1,1,1,5,0,1,0
"25","1",0.999999783759273,"1",0.997527376843365,"1",0.76955231177638,"1",0.9,"1",1,1,1,5,0,1,0
"26","1",0.999997024912327,"1",0.997527376843365,"1",0.965399717572308,"1",0.9,"1",1,1,1,5,0,1,0
"27","1",0.970443482429665,"1",0.119202922022118,"1",0.304654020006096,"2",0.403927068723703,"1",1,1,1,4,0,1,0
"28","1",0.998350506005926,"1",0.997527376843365,"1",0.307679976538393,"1",1,"1",1,1,1,5,0,1,0
"29","1",0.999999766318871,"1",0.999999999721053,"1",0.984784594062809,"1",0.982035928143713,"1",1,1,1,5,0,1,0
"30","1",0.96165647709331,"1",0.997527376843365,"1",0.514986079841442,"1",0.9,"1",0.999999999999711,1,1,5,0,1,0
